hab_section|hab_wikipage|pri_wikipage|type|text
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 27|research|Use propagation techniques to grow new populations of priority and declining aquatic populations.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 28|research|Examine stream temperature and associated microclimatic responses to a range of shading variables from riparian vegetation.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 29|research|Work with partners and support development of regulations for control of aquatic nuisance species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 30|research|Study the extent and impact of exotic species introductions, as well as effective control measures for the most problematic exotics.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 31|research|Gain information regarding the specific microhabitat needs of priority species to develop long term conservation strategies.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 32|research|Conduct research to determine the best way to use a habitat guild approach in developing habitat suitability criteria in a stream system. This research will have benefits for studies melding hydrodynamic models to habitat needs for fish assemblages and the best approach to including rare species into habitat guilds (Persinger et al. 2011).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 33|research|Assess guild structures and their associated criteria in other rivers and test the transferability of guilds between river systems (Persinger et al. 2011).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 34|monitoring|Monitor aquatic taxa to assess species and ecosystem health and to gauge resiliency of organisms to a changing climate.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 35|monitoring|Develop long-term monitoring strategies to document population trends, from which conservation strategies can be specifically designed to target those species which are experiencing declines.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 36|monitoring|Monitor population trends to determine if species are adapting to changing habitats and apply what is learned to future management decisions (Bakke 2008).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 37|monitoring|Use survey efforts to develop long-term monitoring strategies that will document population trends and provided a basis to design conservation strategies that target priority species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 38|monitoring|Monitor the effect of base flow impacts on priority species and correlate results with climate conditions.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 39|monitoring|Develop climate change monitoring protocols or methods to monitor baseflow where priority species occur outside projects related to regulated water use (Federal Energy Regulatory Commission [FERC] licensing).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 40|monitoring|Monitor agriculture and forestry best management practices (BMPs) to determine if they are meeting stormwater runoff control requirements.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Monitoring Priority 41|monitoring|Ensure that bridge and culvert designs allow for stream movement and aquatic organism passage. Design standards may need alteration to accommodate environmental changes and increased floodwaters (Transportation Research Board 2008).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 42|management practices|Expand hatchery facilities to increase capacity for propagation of priority and nongame species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 43|management practices|Ensure that management of riverine habitats promotes the natural evolution and movement of woody and rocky structures and natural processes like bank dynamics, channel meanders, and flood regimes.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 44|management practices|Implement and support use of agriculture and forestry Best Management Practices (BMPs) to control stormwater runoff. Structures such as bioretention cells (i.e., rain gardens), cisterns, permeable pavement, runnels, vegetated swales, and filter strips can be used in various ways as stormwater BMPs.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 45|management practices|Support fencing livestock out of streams as a measure to protect riparian vegetation, maintain bank stability, and reduce nutrient inputs to the aquatic system.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 46|management practices|Reduce impervious surfaces as one measure to control runoff and erosion. Research has shown that impervious levels of 8%–12% represent a threshold where small changes in urganization can cause major changes in stream condition (Wang et al. 2001). There are also many BMPs that may be alternatives to reduce runoff. Encourage use of pervious paving materials where feasible.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 47|management practices|Initiate a drought management program that modifies discharge permits when base flow conditions decrease and the 7Q10 is lowered.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 48|management practices|Augment in-stream habitat to enhance its structural complexity to increase fish community abundance, biomass, and diversity (Hrodey and Sutton 2008).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 49|management practices|Preserve or restore riparian vegetation to maintain stable streambanks and dissipate water runoff energy, which allows for sediment deposition.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 50|management practices|In managed rivers, restore stream flows that promote controlled overbank flows and hydrological connectivity between the river and the floodplain.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 51|management practices|Update flood maps as required by changes in flood patterns (frequency and duration) and flooded lands to ensure protection of life and property (Band and Salvesen 2009).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Management Practices Priority 52|management practices|Protect potential migration corridors and preserve connectivity that allows for species and ecosystem migration.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 53|conservation programs and partnerships|Land use planning and zoning laws are needed to guide development, land clearing activities, and hydrology alterations within floodplains. Planning such as this may for example route highways and other corridors that cross floodplains as closely as possible to existing corridors to avoid fragmenting an extensive corridor of forest.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 54|conservation programs and partnerships|Undertake immediate and continuing efforts to limit water quality deterioration from point sources of pollution as well as nonpoint sources. In general, the most critical conservation actions necessary to sustain populations of riverine habitat species involve protection of water quality and aquatic habitats.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 55|conservation programs and partnerships|Protect floodplains and riparian wetlands from development or land uses that interfere with flood control or floodwater attenuation. Changes in flood patterns (frequency and duration) and flooded lands may periodically require updating flood maps to ensure protection of life and property (Band and Salvesen, 2009).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 56|conservation programs and partnerships|Preserve forests and open space, farm land, rural landscapes, and park lands. Manage open lands and plant trees and vegetation in urban areas to aid in carbon sequestration.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 57|conservation programs and partnerships|Plant riparian areas with vegetation with a broad elevational range within a particular watershed and with broad hydrologic tolerance to promote resiliency from climate change.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 58|conservation programs and partnerships|Use easements and value taxation, and fee simple purchase for land conservation or preservation.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 59|conservation programs and partnerships|Promote efforts to control stormwater management and point source pollution.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 60|conservation programs and partnerships|Land use planning and zoning laws are needed to guide development, land clearing activities, and hydrology alterations within floodplains. Planning such as this may for example route highways and other corridors that cross floodplains as closely as possible to existing corridors to avoid fragmenting an extensive corridor of forest.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 61|conservation programs and partnerships|Land use planning and zoning laws are needed to guide development, land clearing activities, and hydrology alterations within floodplains. Planning such as this may for example route highways and other corridors that cross floodplains as closely as possible to existing corridors to avoid fragmenting an extensive corridor of forest.
4.4.1|Caves and Mines|NCWAP 2015 Surveys Priority 62|surveys|Create a comprehensive, prioritized list of significant caves, including the factors which add significance (e.g., roost of endangered bats, rare geologic formations, other rare plants or animal use).
4.4.1|Caves and Mines|NCWAP 2015 Surveys Priority 63|surveys|Survey for potential nesting birds in caves such as Turkey Vultures, Black Vultures, and Common Ravens.
4.4.1|Caves and Mines|NCWAP 2015 Surveys Priority 64|surveys|Inventory salamander communities associated with cave habitat (particularly in the twilight zone of caves).
4.4.1|Caves and Mines|NCWAP 2015 Surveys Priority 65|surveys|Conduct bat surveys in caves and mines that have not been previously evaluated.
4.4.1|Caves and Mines|NCWAP 2015 Surveys Priority 66|surveys|Conduct surveys for Cave Salamanders (Eurycea lucifuga) in areas along the Tennessee/ North Carolina border.
4.4.1|Caves and Mines|NCWAP 2015 Research Priority 67|research|In some areas of its range, the Longtail Salamander is associated with caves or portions of caves. Investigate its habitat use in North Carolina in conjunction with more generalized research on this species' distribution, status, and habitat in the state.
4.4.1|Caves and Mines|NCWAP 2015 Research Priority 68|research|Conduct studies to document maternity sites used by bats from specific hibernacula (e.g., find maternity colonies utilizing radio telemetry of individual Virginia Big-eared Bats that hibernate in known caves/mines, or track any Indiana or Gray bats captured to their maternity sites or hibernacula).
4.4.1|Caves and Mines|NCWAP 2015 Monitoring Priority 69|monitoring|Establish and implement long term monitoring protocol to document bat use of significant cave/mine roosts, especially in those caves and mines that are affected by WNS.
4.4.1|Caves and Mines|NCWAP 2015 Monitoring Priority 70|monitoring|Develop protocols and procedures for long-term bat banding study and data storage throughout the state.
4.4.1|Caves and Mines|NCWAP 2015 Monitoring Priority 71|monitoring|Establish protocol for periodic monitoring and assessment of Allegheny woodrat populations.
4.4.1|Caves and Mines|NCWAP 2015 Monitoring Priority 72|monitoring|Develop and implement systematic, long-term population monitoring protocols for cave-dwelling salamanders.
4.4.1|Caves and Mines|NCWAP 2015 Management Practices Priority 73|management practices|Where feasible and cost effective, install gates to limit access (similar to protective measures used at Cranberry Mine). Inspection and monitoring may be needed to detect vandalism and illegal entry.
4.4.1|Caves and Mines|NCWAP 2015 Management Practices Priority 74|management practices|Identify ways to address the effects of WNS where it occurs in the state.
4.4.1|Caves and Mines|NCWAP 2015 Conservation Programs And Partnerships Priority 75|conservation programs and partnerships|Acquire cave habitat through purchase, conservation easement, or other perpetual management agreements (potential for partnerships with NC Natural Heritage Program, The Nature Conservancy).
4.4.1|Caves and Mines|NCWAP 2015 Conservation Programs And Partnerships Priority 76|conservation programs and partnerships|Develop plans to protect caves where roosting bats or other cave resources are at risk from human intrusion.
4.2.3|Coldwater Streams|NCWAP 2015 Surveys Priority 77|surveys|Conduct baseline surveys to determine current distributions for the several SGCN associated with stream habitats in western North Carolina that are known in only a few localities, and/or are considered rare or declining (e.g., Water Shrew, Hellbender, Junaluska and Longtail Salamanders, Mudpuppy, Eastern Spiny Softshell, and Loggerhead Musk Turtles).
4.2.3|Coldwater Streams|NCWAP 2015 Surveys Priority 78|surveys|Gather better information about the status and distribution of more common species associated with stream habitats (e.g., Shovel-nosed and Three-linedSalamanders).
4.2.3|Coldwater Streams|NCWAP 2015 Surveys Priority 79|surveys|Investigate population status of native Brook Trout.
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 80|research|Determine specific flow regimes necessary to support microhabitat for particular species (e.g., Junaluska Salamander).
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 81|research|Determine the effect that Beaver ponds have on downstream movement of toxins and sediment.
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 82|research|Gather better information regarding the inputs and influence of groundwater sources to accurately predict the influence of climate change on coldwater systems.
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 83|research|Conduct genetic research to resolve taxonomic issues for aquatic species, such as the Acuminate Crayfish' complex (Cambarus sp. C) and a Lake Waccamaw Lampsilis mussel complex.
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 84|research|Study the combined effect of land use changes and climatic effects on long-term stream temperature trends as they relate to native brook trout protection, restoration, and management.
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 85|research|Investigate thermal tolerance for brook trout and other native species.
4.2.3|Coldwater Streams|NCWAP 2015 Research Priority 86|research|Examine stream temperature and associated microclimatic responses to a range of shading variables from riparian vegetation.
4.2.3|Coldwater Streams|NCWAP 2015 Management Practices Priority 87|management practices|Increasethe effective connectivity (i.e., gene flow) between headwater brook trout populations through removal of artificial barriers and promote habitatconnectivity.
4.2.3|Coldwater Streams|NCWAP 2015 Conservation Programs And Partnerships Priority 88|conservation programs and partnerships|Plant riparian areas with native vegetation with a broad elevationalrange within a particular watershed and with broad hydrologic tolerance to promote resilience from climate change.
4.2.4|Coolwater Streams|NCWAP 2015 Surveys Priority 89|surveys|Distributional and status surveys are needed for aquatic snails, crayfish, mussels, and fish (in order of general need).
4.2.4|Coolwater Streams|NCWAP 2015 Surveys Priority 90|surveys|Conduct stream surveys adjacent to areas poised for development (edge of urban expansion) to establish baseline populations and identify problems before development expands.
4.2.4|Coolwater Streams|NCWAP 2015 Research Priority 91|research|Examine stream temperature and associated microclimatic responses to a range of shading variables from riparian vegetation.
4.2.4|Coolwater Streams|NCWAP 2015 Management Practices Priority 92|management practices|Reduce impervious surfaces as one measure to control runoff and erosion. Researchhas shown that impervious levels of 8%–12% represent a region where small changes in urbanization can cause major changes in stream condition (Wang et al. 2001). There are also many BMPs that may be alternatives to reduce runoff.
4.2.4|Coolwater Streams|NCWAP 2015 Conservation Programs And Partnerships Priority 93|conservation programs and partnerships|Promote efforts to control stormwater management point source pollution.
4.2.4|Coolwater Streams|NCWAP 2015 Conservation Programs And Partnerships Priority 94|conservation programs and partnerships|Land use planning and zoning laws are needed to guide development, land clearing activities, and hydrology alterations within floodplains. Planning such as this may for example route highways and other corridors that cross floodplains as closely as possible to existing corridors to avoid fragmenting an extensive corridor of forest.
4.4.4|Cove Forests|NCWAP 2015 Surveys Priority 95|surveys|Direct initial efforts toward surveys to determine current baseline distribution and status of species associated with cove hardwood forest for which that information is lacking.
4.4.4|Cove Forests|NCWAP 2015 Surveys Priority 96|surveys|Focus initial survey efforts on state-listed species and others that may be declining,such as the Cooper's Hawk, Sharp-shinned Hawk, Brown Creeper, Black-billed Cuckoo, Cerulean Warbler, Yellow-bellied Sapsucker, Green Salamander, Seepage Salamander, Pigmy Salamanders, Tellico Salamander, and Southern Zigzag Salamander.
4.4.4|Cove Forests|NCWAP 2015 Surveys Priority 97|surveys|Conduct surveys to understand current status of species believed to be more common, from which we can measure future population changes (e.g., the Swainson's Warbler, Silver-haired Bat, Long-tailed Weasel, Woodland Jumping Mouse, Eastern Mole, Smoky Shrew, Masked Shrew, Spotted Salamander, Marbled Salamander, Ravine Salamander, Eastern Hognose Snake, Eastern Box Turtle, and Eastern Smooth Earth Snake).
4.4.4|Cove Forests|NCWAP 2015 Research Priority 98|research|Conduct studies of bird, amphibian, reptile, and vegetation responses to gap management or specific timber harvest regimes (e.g., the Cerulean Warbler, Swainson's Warbler, Yellow-bellied Sapsucker, and various reptiles and plethodontid salamanders).
4.4.4|Cove Forests|NCWAP 2015 Monitoring Priority 99|monitoring|The health of Canada Hemlocks needs to be monitored, and efforts to halt the spread of the Hemlock Woolly Adelgid needs to be pursued.
4.4.4|Cove Forests|NCWAP 2015 Monitoring Priority 100|monitoring|An integrated pest management strategy is needed; detection and monitoring of plant pest infestations needs to be an integral part of the strategy.
4.4.4|Cove Forests|NCWAP 2015 Monitoring Priority 101|monitoring|Investigate treatment options (e.g., foliar sprays, systemic soil treatments, aerial fungal pathogens, biological controls) and monitor applications to determine best method for stand-level treatments (Onken and Reardon 2005; MDA 2010).
4.4.4|Cove Forests|NCWAP 2015 Management Practices Priority 102|management practices|With the vast majority of cove hardwood habitat in mid-successional stages, efforts should be directed toward increasing older age classes of cove hardwoods by both lengthening harvest rotation recommendations for timberland owners, and exploring whether we can mimic old growth gap dynamic conditions through selective harvesting techniques in midto late-successional cove hardwood stands.
4.4.4|Cove Forests|NCWAP 2015 Management Practices Priority 103|management practices|Protect cove forests from severe wildfire during drought periods to prevent catastrophic disturbance. In more favorable periods, prescribed burning of surrounding landscapes would help reduce the risk of controllable wildfire, as well as benefitting the upland communities.
4.4.4|Cove Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 104|conservation programs and partnerships|Add to our base of conservation ownership for future generations of the wildlife species associated with the habitat, as well as the use and enjoyment of them by future generations of North Carolinians.
4.4.4|Cove Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 105|conservation programs and partnerships|Protect examples in the most sheltered sites, and those that serve as landscape connections to other patches.
4.4.4|Cove Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 106|conservation programs and partnerships|Protect examples in the most sheltered sites, and those that serve as landscape connections to other patches.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Surveys Priority 107|surveys|Determine the current baseline distribution and status of species mainly associated with dry coniferous forest (especially those that are state-listed or believed to be declining). Data is most severely lacking for reptiles, small mammals, and nocturnal birds.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Surveys Priority 108|surveys|Survey White Pine forest for breeding birds and other fauna. This habitat might now be utilized by species that formerly occurred in Canada Hemlock stands that have now shifted to White Pine habitats.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Research Priority 109|research|Continue research on topics including efficient and effective means to manage and improve the quality and quantity of dry coniferous forest, with a particular eye toward techniques that are applicable in our developing landscape (e.g., in the absence of fire, either as a natural event or as a management tool, what other means might be available to sustain this habitat across the landscape?).
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Research Priority 110|research|Research how the loss of hemlock affects salamander habitat use and microclimate.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Monitoring Priority 111|monitoring|Establish long-term monitoring efforts for small mammals and reptiles in the habitat. Monitoring protocols and procedures need to be developed or refined that will allow us to measure population trends of the priority wildlife species, as well as the health and distribution of this relatively rare habitat through time.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Monitoring Priority 112|monitoring|Enhance current monitoring systems and protocols (e.g., MAPS and BBS) to better cover species not well covered by current monitoring efforts.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Management Practices Priority 113|management practices|Determine impacts of prescribed fire on these communities and the resulting effects on wildlife communities.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Management Practices Priority 114|management practices|Develop logistically and economically effective control strategies for controlling outbreaks of the most damaging insect pests and diseases.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Management Practices Priority 115|management practices|Regulate human activities on steep slopes that may cause excessive erosion or mud slides, and develop and implement BMPs to mitigate erosion.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Conservation Programs And Partnerships Priority 116|conservation programs and partnerships|Continue to support partnerships like the Southern Blue Ridge Fire Learning Network and the North Carolina Prescribed Fire Council to expand efforts at restoring disturbance regimes.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Conservation Programs And Partnerships Priority 117|conservation programs and partnerships|Identify the best remaining examples of this habitat in the Mountains and western Piedmont and then to pursue easements or acquisition. The efforts of land trusts and government agencies should be coordinated to target the highest priority sites.
4.4.10|Dry Coniferous Woodlands|NCWAP 2015 Conservation Programs And Partnerships Priority 118|conservation programs and partnerships|Use land use planning to minimize development within large, unfragmented tracts of all woodland types in the western Piedmont.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Surveys Priority 119|surveys|Conduct surveys to document the distribution, relative abundance, and status of priority wildlife species associated with dry Longleaf Pine habitats.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Research Priority 120|research|Develop long-term research studies to investigate various methods for restoring and maintaining Longleaf Pine ecosystems, including herbicides, fire, clearcutting, site preparation techniques, and management practices.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Monitoring Priority 121|monitoring|Develop monitoring for any North Carolina dry Longleaf Pine bird species that require specialized attention, since neither BBS nor standard point counts adequately sample for many species like Bachman's Sparrow, Nightjars, American Kestrel, Henslow's Sparrow, and Red-headed Woodpecker.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Monitoring Priority 122|monitoring|Expand and/or target monitoring systems to be able to assess current population status and trend information for all wildlife species associated with dry Longleaf Pine habitats, in particular reptiles such as Northern Pinesnake, Southern Hognose Snake, and Coachwhip.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Management Practices Priority 123|management practices|Where possible, allow fire to burn through transition zones to maintain these sites instead of plowing fire lines through them.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Management Practices Priority 124|management practices|Suppress Fire Ant colonies—particularly where multi-queen colonies have developed—in all protected natural areas.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Management Practices Priority 125|management practices|Restore landscape integrity to protect insect populations associated with Longleaf Pine habitats.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Management Practices Priority 126|management practices|Evaluate sustainable forestry criteria established by European countries that use woody biomass for fuel to generate preliminary guidelines for biomass production in North Carolina (Buford and Neary 2010 in DeWan et al. 2010).
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Management Practices Priority 127|management practices|Develop strategies for pine straw raking that minimizes impacts to understory habitat structure.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 128|conservation programs and partnerships|Work cooperatively with other agencies to define sustainable forestry criteria for biomass production.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 129|conservation programs and partnerships|Provide landowners with the option to purchase longleaf seedlings that stay in the grass stage longer. This will allow the trees to better establish their root systems in the hurricane zone, and will also provide a longer period of high-quality early successional habitat.
4.4.13|Dry Longleaf Pine Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 130|conservation programs and partnerships|Give high priority to protecting and expanding the few remaining examples regardless of climate change. Because these systems are likely to withstand the stresses of changing climate well, restoring more of them in the near future would produce more resilient natural landscapes.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Surveys Priority 131|surveys|Facilitate the mapping of significant ecological, bathymetric, geologic, demographic, and cultural features (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Surveys Priority 132|surveys|Conduct surveys of fish populations, including collecting fish samples for toxicological and water quality studies, to evaluate the efficacy of management practices, detect changes in fish communities, and to identify trends which may be occurring within the fishery resources.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Research Priority 133|research|Support research on adapting to impacts associated with climate change and sea level rise (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Research Priority 134|research|Facilitate risk assessments of targeted personal care and pharmaceutical products in the aquatic system (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Research Priority 135|research|Facilitate risk assessments of heavy metals and other toxic contaminants in sediments (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Research Priority 136|research|Assess the impact on fisheries productivityfrom changes in estuarine habitats due to climate change (NIEPS 2010).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Monitoring Priority 137|monitoring|Develop and maintain an integrated monitoring network to collect information for assessment of ecosystem outcomes and management actions associated with the implementation of management actions (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Monitoring Priority 138|monitoring|Facilitate the development of protocols and conduct rapid assessments to determine presence and potential threat of invasive species (APNEP 2012).
