search_term,id
NC Audubon Society,org-nc-audubon-society
NCAS,org-nc-audubon-society
NC Department of Parks and Recreation,org-nc-department-of-parks-and-recreation
NCDPR,org-nc-department-of-parks-and-recreation
NC Museum of Natural Sciences,org-nc-museum-of-natural-sciences
NCMNS,org-nc-museum-of-natural-sciences
NC Natural Heritage Program,org-nc-natural-heritage-program
NCNHP,org-nc-natural-heritage-program
NC Partners in Flight,org-nc-partners-in-flight
NCPIF,org-nc-partners-in-flight
NC Source Water Initiative,org-nc-source-water-initiative
NCSWI,org-nc-source-water-initiative
NC State University,org-nc-state-university
NCSU,org-nc-state-university
NCSU Cooperative Extension,org-ncsu-cooperative-extension
NCSU CE,org-ncsu-cooperative-extension
NC Wildlife Resources Commission,org-nc-wildlife-resources-commission
NCWRC,org-nc-wildlife-resources-commission
North American Bird Conservation Initiative,org-north-american-bird-conservation-initiative
NABC,org-north-american-bird-conservation-initiative
North Carolina Partners in Amphibian and Reptile Conservation,org-north-carolina-partners-in-amphibian-and-reptile-conservation
NCPARC,org-north-carolina-partners-in-amphibian-and-reptile-conservation
North Carolina Sandhills Conservation Partnership,org-north-carolina-sandhills-conservation-partnership
NCSCP,org-north-carolina-sandhills-conservation-partnership
Onslow Bight Conservation Forum,org-onslow-bight-conservation-forum
OBCF,org-onslow-bight-conservation-forum
Partners in Flight,org-partners-in-flight
PIF,org-partners-in-flight
Quail and Upland Wildlife Federation,org-quail-and-upland-wildlife-federation
QUWF,org-quail-and-upland-wildlife-federation
Quail Unlimited,org-quail-unlimited
QU,org-quail-unlimited
SeaGrant North Carolina,org-seagrant-north-carolina
SGNC,org-seagrant-north-carolina
Smithsonian Institute,org-smithsonian-institute
SI,org-smithsonian-institute
Smithsonian Migratory Bird Center,org-smithsonian-migratory-bird-center
SMBC,org-smithsonian-migratory-bird-center
South Atlantic Landscape Conservation Cooperative,org-south-atlantic-landscape-conservation-cooperative
SALCC,org-south-atlantic-landscape-conservation-cooperative
Southeast Association of Fish and Wildlife Agencies,org-southeast-association-of-fish-and-wildlife-agencies
SEAFWA,org-southeast-association-of-fish-and-wildlife-agencies
Southeast Climate Science Center,org-southeast-climate-science-center
SECSC,org-southeast-climate-science-center
Southeastern Cooperative Wildlife Disease Study,org-southeastern-cooperative-wildlife-disease-study
SCWDS,org-southeastern-cooperative-wildlife-disease-study
Southeast Partners in Flight,org-southeast-partners-in-flight
SEPIF,org-southeast-partners-in-flight
Southern Appalachian Research Center,org-southern-appalachian-research-center
SARC,org-southern-appalachian-research-center
Tar River Land Conservancy,org-tar-river-land-conservancy
TRLC,org-tar-river-land-conservancy
The Nature Conservancy,org-the-nature-conservancy
TNC,org-the-nature-conservancy
Town of Cary,org-town-of-cary
TOC,org-town-of-cary
University of North Carolina - Chapel Hill,org-university-of-north-carolina-chapel-hill
UNC,org-university-of-north-carolina-chapel-hill
University of North Carolina - Wilmington,org-university-of-north-carolina-wilmington
UNCW,org-university-of-north-carolina-wilmington
USDA Farm Service Agency,org-usda-farm-service-agency
USDA FSA,org-usda-farm-service-agency
US Department of Agriculture,org-us-department-of-agriculture
USDA,org-us-department-of-agriculture
US Fish and Wildlife Service,org-us-fish-and-wildlife-service
USFWS,org-us-fish-and-wildlife-service
US Geological Service,org-us-geological-service
USGS,org-us-geological-service
USGS Forest and Rangeland Ecosystem Science Center,org-usgs-forest-and-rangeland-ecosystem-science-center
FRESC,org-usgs-forest-and-rangeland-ecosystem-science-center
USGS NC Cooperative Research Unit,org-usgs-nc-cooperative-research-unit
NCCRU,org-usgs-nc-cooperative-research-unit
USGS Pautuxent Wildlife Research Center,org-usgs-pautuxent-wildlife-research-center
PWRC,org-usgs-pautuxent-wildlife-research-center
USGS Rocky Mountain Geographic Science Center,org-usgs-rocky-mountain-geographic-science-center
RMGSC,org-usgs-rocky-mountain-geographic-science-center
USGS Water Resources Division,org-usgs-water-resources-division
WRD,org-usgs-water-resources-division
USGS Western Ecological Research Center,org-usgs-western-ecological-research-center
WERC,org-usgs-western-ecological-research-center
US National Park Service,org-us-national-park-service
USNPS,org-us-national-park-service
Virginia Division of Game and Inland Fisheries,org-virginia-division-of-game-and-inland-fisheries
VDGIF,org-virginia-division-of-game-and-inland-fisheries
Weyehaueser,org-weyehaueser
WY,org-weyehaueser
Wildlife Conservation Society,org-wildlife-conservation-society
WCS,org-wildlife-conservation-society
Beach/ dune,ncwap-hab-beach-dune
Beach Beach/ dune,ncwap-hab-beach-dune
dune,ncwap-hab-beach-dune
dune Beach/ dune,ncwap-hab-beach-dune
Bogs and associated wetlands,ncwap-hab-bogs-and-associated-wetlands
Caves and mines,ncwap-hab-caves-and-mines
Cove forest,ncwap-hab-cove-forest
Dry coniferous woodlands (Loblolly/ slash pine forest),ncwap-hab-dry-coniferous-woodlands-loblolly-slash-pine-forest
Dry coniferous woodlands  Dry coniferous woodlands (Loblolly/ slash pine forest),ncwap-hab-dry-coniferous-woodlands-loblolly-slash-pine-forest
Loblolly slash pine forest,ncwap-hab-dry-coniferous-woodlands-loblolly-slash-pine-forest
Loblolly slash pine forest Dry coniferous woodlands (Loblolly/ slash pine forest),ncwap-hab-dry-coniferous-woodlands-loblolly-slash-pine-forest
Dry longleaf pine,ncwap-hab-dry-longleaf-pine
Estuarine communities,ncwap-hab-estuarine-communities
High elevation rock outcrops,ncwap-hab-high-elevation-rock-outcrops
Low elevation cliffs/ rock outcrops,ncwap-hab-low-elevation-cliffs-rock-outcrops
Early successional habitats,ncwap-hab-macp-early-successional-habitats
mid atlantic coastal Early successional habitats,ncwap-hab-macp-early-successional-habitats
mid atlantic coastal plain Early successional habitats,ncwap-hab-macp-early-successional-habitats
Floodplain forest,ncwap-hab-macp-floodplain-forest
mid atlantic coastal Floodplain forest,ncwap-hab-macp-floodplain-forest
mid atlantic coastal plain Floodplain forest,ncwap-hab-macp-floodplain-forest
Lakes and reservoirs,ncwap-hab-macp-lakes-and-reservoirs
mid atlantic coastal Lakes and reservoirs,ncwap-hab-macp-lakes-and-reservoirs
mid atlantic coastal plain Lakes and reservoirs,ncwap-hab-macp-lakes-and-reservoirs
Mesic forest,ncwap-hab-macp-mesic-forest
mid atlantic coastal Mesic forest,ncwap-hab-macp-mesic-forest
mid atlantic coastal plain Mesic forest,ncwap-hab-macp-mesic-forest
Oak forest (including mixed hardwoods and pine),ncwap-hab-macp-oak-forest-including-mixed-hardwoods-and-pine
mid atlantic coastal Oak forest (including mixed hardwoods and pine),ncwap-hab-macp-oak-forest-including-mixed-hardwoods-and-pine
mid atlantic coastal plain Oak forest (including mixed hardwoods and pine),ncwap-hab-macp-oak-forest-including-mixed-hardwoods-and-pine
Riverine aquatic communities,ncwap-hab-macp-riverine-aquatic-communities
mid atlantic coastal Riverine aquatic communities,ncwap-hab-macp-riverine-aquatic-communities
mid atlantic coastal plain Riverine aquatic communities,ncwap-hab-macp-riverine-aquatic-communities
Maritime forest/shrub,ncwap-hab-maritime-forestshrub
Maritime forest Maritime forest/shrub,ncwap-hab-maritime-forestshrub
Maritime shrub,ncwap-hab-maritime-forestshrub
Maritime shrub forest,ncwap-hab-maritime-forestshrub
Nonalluvial mineral wetlands,ncwap-hab-nonalluvial-mineral-wetlands
Northern hardwoods,ncwap-hab-northern-hardwoods
Dry coniferous woodlands,ncwap-hab-p-dry-coniferous-woodlands
piedmont Dry coniferous woodlands,ncwap-hab-p-dry-coniferous-woodlands
Early successional habitats,ncwap-hab-p-early-successional-habitats
piedmont Early successional habitats,ncwap-hab-p-early-successional-habitats
Floodplain forest,ncwap-hab-p-floodplain-forest
piedmont Floodplain forest,ncwap-hab-p-floodplain-forest
Piedmont small wetland communities,ncwap-hab-piedmont-small-wetland-communities
Lakes and reservoirs,ncwap-hab-p-lakes-and-reservoirs
piedmont Lakes and reservoirs,ncwap-hab-p-lakes-and-reservoirs
Mesic forest,ncwap-hab-p-mesic-forest
piedmont Mesic forest,ncwap-hab-p-mesic-forest
Oak forest (including mixed hardwoods and pine),ncwap-hab-p-oak-forest-including-mixed-hardwoods-and-pine
piedmont Oak forest (including mixed hardwoods and pine),ncwap-hab-p-oak-forest-including-mixed-hardwoods-and-pine
Pocosin,ncwap-hab-pocosin
Riverine aquatic communities,ncwap-hab-p-riverine-aquatic-communities
piedmont Riverine aquatic communities,ncwap-hab-p-riverine-aquatic-communities
Dry coniferous woodlands,ncwap-hab-sbr-dry-coniferous-woodlands
Southern Blue Ridge Dry coniferous woodlands,ncwap-hab-sbr-dry-coniferous-woodlands
Blue Ridge Dry coniferous woodlands,ncwap-hab-sbr-dry-coniferous-woodlands
Early successional habitats,ncwap-hab-sbr-early-successional-habitats
Southern Blue Ridge Early successional habitats,ncwap-hab-sbr-early-successional-habitats
Blue Ridge Early successional habitats,ncwap-hab-sbr-early-successional-habitats
Floodplain forest,ncwap-hab-sbr-floodplain-forest
Southern Blue Ridge Floodplain forest,ncwap-hab-sbr-floodplain-forest
Blue Ridge Floodplain forest,ncwap-hab-sbr-floodplain-forest
Oak forest (including mixed hardwoods and pine),ncwap-hab-sbr-oak-forest-including-mixed-hardwoods-and-pine
Southern Blue Ridge Oak forest (including mixed hardwoods and pine),ncwap-hab-sbr-oak-forest-including-mixed-hardwoods-and-pine
Blue Ridge Oak forest (including mixed hardwoods and pine),ncwap-hab-sbr-oak-forest-including-mixed-hardwoods-and-pine
Riverine aquatic communities,ncwap-hab-sbr-riverine-aquatic-communities
Southern Blue Ridge Riverine aquatic communities,ncwap-hab-sbr-riverine-aquatic-communities
Blue Ridge Riverine aquatic communities,ncwap-hab-sbr-riverine-aquatic-communities
Small wetland communities,ncwap-hab-small-wetland-communities
Spruce-fir forest,ncwap-hab-spruce-fir-forest
Tidal swamp forest and wetlands,ncwap-hab-tidal-swamp-forest-and-wetlands
Wet pine savanna,ncwap-hab-wet-pine-savanna
other grasses (other than pasture/hay),ncgap-hab-other-grasses-other-than-pasture-hay
other grasses other than pasture hay,ncgap-hab-other-grasses-other-than-pasture-hay
evergreen forest,ncgap-hab-evergreen-forest
mixed forest,ncgap-hab-mixed-forest
deciduous forest,ncgap-hab-deciduous-forest
woody wetlands,ncgap-hab-woody-wetlands
emergent wetlands,ncgap-hab-emergent-wetlands
Tidewater,ncgap-hab-tidewater
Coastal Flatwoods,ncgap-hab-coastal-flatwoods
Coastal Plains,ncgap-hab-coastal-plains
Sandhills,ncgap-hab-sandhills
Piedmont,ncgap-hab-piedmont
Blue Ridge,ncgap-hab-blue ridge
Open Water,segap-hab-open-water
Perennial Ice/Snow,segap-hab-perennial-ice-snow
Developed Open Space,segap-hab-developed-open-space
Developed Low Intensity,segap-hab-developed-low-intensity
Developed Medium Intensity,segap-hab-developed-medium-intensity
Developed High Intensity,segap-hab-developed-high-intensity
Barren Land (Rock/Sand/Clay),segap-hab-barren-land-rock-sand-clay
Barren Land Rock Sand Clay,segap-hab-barren-land-rock-sand-clay
Unconsolidated Shore,segap-hab-unconsolidated-shore
Deciduous Forest,segap-hab-deciduous-forest
Evergreen Forest,segap-hab-evergreen-forest
Mixed Forest,segap-hab-mixed-forest
Dwarf Scrub ,segap-hab-dwarf-scrub
Shrub Scrub,segap-hab-shrub-scrub
Grassland Herbaceous,segap-hab-grassland-herbaceous
Sedge Herbaceous,segap-hab-sedge-herbaceous
Lichens,segap-hab-lichens
Moss,segap-hab-moss
Pasture Hay,segap-hab-pasture-hay
Cultivated Crops,segap-hab-cultivated-crops
Woody Wetlands,segap-hab-woody-wetlands
Palustrine Forested Wetland,segap-hab-palustrine-forested-wetland
Palustrine Scrub/Shrub Wetland,segap-hab-palustrine-scrub-shrub-wetland
Palustrine Scrub Shrub Wetland,segap-hab-palustrine-scrub-shrub-wetland
Estuarine Forested Wetland,segap-hab-estuarine-forested-wetland
Estuarine Scrub/Shrub Wetland,segap-hab-estuarine-scrub-shrub-wetland
Emergent Herbaceous Wetlands,segap-hab-emergent-herbaceous-wetlands
Persistent Palustrine Emergent Wetland,segap-hab-persistent-palustrine-emergent-wetland
Estuarine Emergent Wetland,segap-hab-estuarine-emergent-wetland
Palustrine Aquatic Bed,segap-hab-palustrine-aquatic-bed
Estuarine Aquatic Bed,segap-hab-estuarine-aquatic-bed
acadian flycatcher,spp-acadian-flycatcher
alder flycatcher,spp-alder-flycatcher
allens hummingbird,spp-allens-hummingbird
allen hummingbird,spp-allens-hummingbird
american avocet,spp-american-avocet
american bittern,spp-american-bittern
american black duck,spp-american-black-duck
american coot,spp-american-coot
american crow,spp-american-crow
american goldenplover,spp-american-golden-plover
american goldfinch,spp-american-goldfinch
american kestrel,spp-american-kestrel
american oystercatcher,spp-american-oystercatcher
american pipit,spp-american-pipit
american redstart,spp-american-redstart
american robin,spp-american-robin
american tree sparrow,spp-american-tree-sparrow
american white pelican,spp-american-white-pelican
american wigeon,spp-american-wigeon
american woodcock,spp-american-woodcock
anhinga,spp-anhinga
annas hummingbird,spp-annas-hummingbird
anna hummingbird,spp-annas-hummingbird
antillean nighthawk,spp-antillean-nighthawk
arctic tern,spp-arctic-tern
ashthroated flycatcher,spp-ash-throated-flycatcher
atlantic puffin,spp-atlantic-puffin
audubons shearwater,spp-audubons-shearwater
audubon shearwater,spp-audubons-shearwater
bachmans sparrow,spp-bachmans-sparrow
bachman sparrow,spp-bachmans-sparrow
bachmans warbler,spp-bachmans-warbler
bachman warbler,spp-bachmans-warbler
bairds sandpiper,spp-bairds-sandpiper
baird sandpiper,spp-bairds-sandpiper
bald eagle,spp-bald-eagle
baltimore oriole,spp-baltimore-oriole
bandrumped stormpetrel,spp-band-rumped-storm-petrel
bandtailed pigeon,spp-band-tailed-pigeon
bank swallow,spp-bank-swallow
barnacle goose,spp-barnacle-goose
barn owl,spp-barn-owl
barn swallow,spp-barn-swallow
barred owl,spp-barred-owl
bartailed godwit,spp-bar-tailed-godwit
baybreasted warbler,spp-bay-breasted-warbler
bells vireo,spp-bells-vireo
bell vireo,spp-bells-vireo
belted kingfisher,spp-belted-kingfisher
bermuda petrel,spp-bermuda-petrel
bewicks wren,spp-bewicks-wren
bewick wren,spp-bewicks-wren
bicknells thrush,spp-bicknells-thrush
bicknell thrush,spp-bicknells-thrush
blackandwhite warbler,spp-black-and-white-warbler
blackbellied plover,spp-black-bellied-plover
blackbellied stormpetrel,spp-black-bellied-storm-petrel
blackbellied whistlingduck,spp-black-bellied-whistling-duck
blackbilled cuckoo,spp-black-billed-cuckoo
blackbrowed albatross,spp-black-browed-albatross
blackburnian warbler,spp-blackburnian-warbler
blackcapped chickadee,spp-black-capped-chickadee
blackcapped petrel,spp-black-capped-petrel
blackchinned hummingbird,spp-black-chinned-hummingbird
blackcrowned nightheron,spp-black-crowned-night-heron
black guillemot,spp-black-guillemot
blackheaded grosbeak,spp-black-headed-grosbeak
blackheaded gull,spp-black-headed-gull
blacklegged kittiwake,spp-black-legged-kittiwake
blacknecked stilt,spp-black-necked-stilt
blackpoll warbler,spp-blackpoll-warbler
black rail,spp-black-rail
black scoter,spp-black-scoter
black skimmer,spp-black-skimmer
blacktailed godwit,spp-black-tailed-godwit
blacktailed gull,spp-black-tailed-gull
black tern,spp-black-tern
blackthroated blue warbler,spp-black-throated-blue-warbler
blackthroated gray warbler,spp-black-throated-gray-warbler
blackthroated green warbler,spp-black-throated-green-warbler
black vulture,spp-black-vulture
blackwhiskered vireo,spp-black-whiskered-vireo
bluegray gnatcatcher,spp-blue-gray-gnatcatcher
blue grosbeak,spp-blue-grosbeak
blueheaded vireo,spp-blue-headed-vireo
blue jay,spp-blue-jay
bluewinged teal,spp-blue-winged-teal
bluewinged warbler,spp-blue-winged-warbler
boattailed grackle,spp-boat-tailed-grackle
bobolink,spp-bobolink
bonapartes gull,spp-bonapartes-gull
bonaparte gull,spp-bonapartes-gull
brambling,spp-brambling
brant,spp-brant
brewers blackbird,spp-brewers-blackbird
brewer blackbird,spp-brewers-blackbird
bridled tern,spp-bridled-tern
broadbilled hummingbird,spp-broad-billed-hummingbird
broadtailed hummingbird,spp-broad-tailed-hummingbird
broadwinged hawk,spp-broad-winged-hawk
brown booby,spp-brown-booby
brown creeper,spp-brown-creeper
brownheaded cowbird,spp-brown-headed-cowbird
brownheaded nuthatch,spp-brown-headed-nuthatch
brown noddy,spp-brown-noddy
brown pelican,spp-brown-pelican
brown thrasher,spp-brown-thrasher
buffbreasted sandpiper,spp-buff-breasted-sandpiper
bufflehead,spp-bufflehead
bullocks oriole,spp-bullocks-oriole
bullock oriole,spp-bullocks-oriole
bulwers petrel,spp-bulwers-petrel
bulwer petrel,spp-bulwers-petrel
burrowing owl,spp-burrowing-owl
cackling goose,spp-cackling-goose
california gull,spp-california-gull
calliope hummingbird,spp-calliope-hummingbird
canada goose,spp-canada-goose
canada warbler,spp-canada-warbler
canvasback,spp-canvasback
cape may warbler,spp-cape-may-warbler
cape verde shearwater,spp-cape-verde-shearwater
carolina chickadee,spp-carolina-chickadee
carolina wren,spp-carolina-wren
caspian tern,spp-caspian-tern
cattle egret,spp-cattle-egret
cave swallow,spp-cave-swallow
cedar waxwing,spp-cedar-waxwing
cerulean warbler,spp-cerulean-warbler
chestnutcollared longspur,spp-chestnut-collared-longspur
chestnutsided warbler,spp-chestnut-sided-warbler
chimney swift,spp-chimney-swift
chipping sparrow,spp-chipping-sparrow
chuck-wills-widow,spp-chuck-wills-widow
chuck-will-widow,spp-chuck-wills-widow
cinnamon teal,spp-cinnamon-teal
clapper rail,spp-clapper-rail
clarks grebe,spp-clarks-grebe
clark grebe,spp-clarks-grebe
claycolored sparrow,spp-clay-colored-sparrow
cliff swallow,spp-cliff-swallow
common eider,spp-common-eider
common goldeneye,spp-common-goldeneye
common grackle,spp-common-grackle
common grounddove,spp-common-ground-dove
common loon,spp-common-loon
common merganser,spp-common-merganser
common moorhen,spp-common-moorhen
common murre,spp-common-murre
common nighthawk,spp-common-nighthawk
common raven,spp-common-raven
common redpoll,spp-common-redpoll
common tern,spp-common-tern
common yellowthroat,spp-common-yellowthroat
connecticut warbler,spp-connecticut-warbler
Cooper's Hawk,spp-coopers-hawk
coopers hawk,spp-coopers-hawk
cooper hawk,spp-coopers-hawk
corys shearwater,spp-corys-shearwater
cory shearwater,spp-corys-shearwater
curlew sandpiper,spp-curlew-sandpiper
darkeyed junco,spp-dark-eyed-junco
dickcissel,spp-dickcissel
doublecrested cormorant,spp-double-crested-cormorant
dovekie,spp-dovekie
downy woodpecker,spp-downy-woodpecker
dunlin,spp-dunlin
eared grebe,spp-eared-grebe
eastern bluebird,spp-eastern-bluebird
eastern kingbird,spp-eastern-kingbird
eastern meadowlark,spp-eastern-meadowlark
eastern phoebe,spp-eastern-phoebe
eastern screechowl,spp-eastern-screech-owl
eastern towhee,spp-eastern-towhee
eastern woodpewee,spp-eastern-wood-pewee
eurasian collareddove,spp-eurasian-collared-dove
eurasian wigeon,spp-eurasian-wigeon
european starling,spp-european-starling
european stormpetrel,spp-european-storm-petrel
evening grosbeak,spp-evening-grosbeak
feas petrel,spp-feas-petrel
fea petrel,spp-feas-petrel
field sparrow,spp-field-sparrow
fish crow,spp-fish-crow
forktailed flycatcher,spp-fork-tailed-flycatcher
forsters tern,spp-forsters-tern
forster tern,spp-forsters-tern
fox sparrow,spp-fox-sparrow
franklins gull,spp-franklins-gull
franklin gull,spp-franklins-gull
fulvous whistlingduck,spp-fulvous-whistling-duck
gadwall,spp-gadwall
garganey,spp-garganey
glaucous gull,spp-glaucous-gull
glossy ibis,spp-glossy-ibis
goldencrowned kinglet,spp-golden-crowned-kinglet
golden eagle,spp-golden-eagle
goldenwinged warbler,spp-golden-winged-warbler
grasshopper sparrow,spp-grasshopper-sparrow
gray catbird,spp-gray-catbird
graycheeked thrush,spp-gray-cheeked-thrush
gray flycatcher,spp-gray-flycatcher
gray kingbird,spp-gray-kingbird
great blackbacked gull,spp-great-black-backed-gull
great blue heron,spp-great-blue-heron
great cormorant,spp-great-cormorant
great crested flycatcher,spp-great-crested-flycatcher
great egret,spp-great-egret
greater scaup,spp-greater-scaup
greater shearwater,spp-greater-shearwater
greater whitefronted goose,spp-greater-white-fronted-goose
greater yellowlegs,spp-greater-yellowlegs
great horned owl,spp-great-horned-owl
great skua,spp-great-skua
greenbreasted mango,spp-green-breasted-mango
green heron,spp-green-heron
greentailed towhee,spp-green-tailed-towhee
green violetear,spp-green-violet-ear
greenwinged teal,spp-green-winged-teal
groovebilled ani,spp-groove-billed-ani
gullbilled tern,spp-gull-billed-tern
gyrfalcon,spp-gyrfalcon
hairy woodpecker,spp-hairy-woodpecker
harlequin duck,spp-harlequin-duck
Harris's Sparrow,spp-harriss-sparrow
harriss sparrow,spp-harriss-sparrow
harris sparrow,spp-harriss-sparrow
henslows sparrow,spp-henslows-sparrow
henslow sparrow,spp-henslows-sparrow
herald petrel,spp-herald-petrel
hermit thrush,spp-hermit-thrush
herring gull,spp-herring-gull
hooded merganser,spp-hooded-merganser
hooded warbler,spp-hooded-warbler
horned grebe,spp-horned-grebe
horned lark,spp-horned-lark
house finch,spp-house-finch
house sparrow,spp-house-sparrow
house wren,spp-house-wren
hudsonian godwit,spp-hudsonian-godwit
iceland gull,spp-iceland-gull
indigo bunting,spp-indigo-bunting
kentucky warbler,spp-kentucky-warbler
killdeer,spp-killdeer
king eider,spp-king-eider
king rail,spp-king-rail
kirtlands warbler,spp-kirtlands-warbler
kirtland warbler,spp-kirtlands-warbler
lapland longspur,spp-lapland-longspur
lark bunting,spp-lark-bunting
lark sparrow,spp-lark-sparrow
laughing gull,spp-laughing-gull
lazuli bunting,spp-lazuli-bunting
leachs storm-petrel,spp-leachs-storm-petrel
leach storm-petrel,spp-leachs-storm-petrel
least bittern,spp-least-bittern
least flycatcher,spp-least-flycatcher
least sandpiper,spp-least-sandpiper
least tern,spp-least-tern
le contes sparrow,spp-le-contes-sparrow
le conte sparrow,spp-le-contes-sparrow
lesser blackbacked gull,spp-lesser-black-backed-gull
lesser goldfinch,spp-lesser-goldfinch
lesser nighthawk,spp-lesser-nighthawk
lesser scaup,spp-lesser-scaup
lesser yellowlegs,spp-lesser-yellowlegs
limpkin,spp-limpkin
lincolns sparrow,spp-lincolns-sparrow
lincoln sparrow,spp-lincolns-sparrow
little blue heron,spp-little-blue-heron
little gull,spp-little-gull
little stint,spp-little-stint
loggerhead shrike,spp-loggerhead-shrike
longbilled curlew,spp-long-billed-curlew
longbilled dowitcher,spp-long-billed-dowitcher
longbilled murrelet,spp-long-billed-murrelet
longeared owl,spp-long-eared-owl
longtailed duck,spp-long-tailed-duck
longtailed jaeger,spp-long-tailed-jaeger
louisiana waterthrush,spp-louisiana-waterthrush
macgillivrays warbler,spp-macgillivrays-warbler
macgillivray warbler,spp-macgillivrays-warbler
magnificent frigatebird,spp-magnificent-frigatebird
magnolia warbler,spp-magnolia-warbler
mallard,spp-mallard
manx shearwater,spp-manx-shearwater
marbled godwit,spp-marbled-godwit
marsh wren,spp-marsh-wren
masked booby,spp-masked-booby
masked duck,spp-masked-duck
merlin,spp-merlin
mew gull,spp-mew-gull
mississippi kite,spp-mississippi-kite
mottled duck,spp-mottled-duck
mountain bluebird,spp-mountain-bluebird
mourning dove,spp-mourning-dove
mourning warbler,spp-mourning-warbler
mute swan,spp-mute-swan
nashville warbler,spp-nashville-warbler
nelsons sharp-tailed sparrow,spp-nelsons-sharp-tailed-sparrow
nelson sharp-tailed sparrow,spp-nelsons-sharp-tailed-sparrow
northern bobwhite,spp-northern-bobwhite
northern cardinal,spp-northern-cardinal
northern flicker,spp-northern-flicker
northern fulmar,spp-northern-fulmar
northern gannet,spp-northern-gannet
northern goshawk,spp-northern-goshawk
northern harrier,spp-northern-harrier
northern lapwing,spp-northern-lapwing
northern mockingbird,spp-northern-mockingbird
northern parula,spp-northern-parula
northern pintail,spp-northern-pintail
northern roughwinged swallow,spp-northern-rough-winged-swallow
northern sawwhet owl,spp-northern-saw-whet-owl
northern shoveler,spp-northern-shoveler
northern shrike,spp-northern-shrike
northern waterthrush,spp-northern-waterthrush
northern wheatear,spp-northern-wheatear
olivesided flycatcher,spp-olive-sided-flycatcher
orangecrowned warbler,spp-orange-crowned-warbler
orchard oriole,spp-orchard-oriole
osprey,spp-osprey
ovenbird,spp-ovenbird
pacific loon,spp-pacific-loon
pacificslope/cordilleran flycatcher,spp-pacific-slope/cordilleran-flycatcher
painted bunting,spp-painted-bunting
palm warbler,spp-palm-warbler
parasitic jaeger,spp-parasitic-jaeger
pectoral sandpiper,spp-pectoral-sandpiper
peregrine falcon,spp-peregrine-falcon
philadelphia vireo,spp-philadelphia-vireo
piedbilled grebe,spp-pied-billed-grebe
pileated woodpecker,spp-pileated-woodpecker
pine grosbeak,spp-pine-grosbeak
pine siskin,spp-pine-siskin
pine warbler,spp-pine-warbler
piping plover,spp-piping-plover
pomarine jaeger,spp-pomarine-jaeger
prairie warbler,spp-prairie-warbler
prothonotary warbler,spp-prothonotary-warbler
purple finch,spp-purple-finch
purple gallinule,spp-purple-gallinule
purple martin,spp-purple-martin
purple sandpiper,spp-purple-sandpiper
