id,pri-id,h_id,habitat,p_type,category,priority
20,pri-20,2,bogs-and-associated-wetlands,R,Habitat use,"Document the habitat relationships of priority species; for most species, we do not know how dependent they are upon mountain bog habitats, relative to other habitat types;"
21,pri-21,2,bogs-and-associated-wetlands,R,Habitat use,"Determine of the microhabitat preferences and requirements of species utilizing mountain bogs;  We must document whether specific hydrological and biological requirements of these priority species are being met under current management regimes, and to do that we must understand how these species are utilizing the habitat;"
22,pri-22,2,bogs-and-associated-wetlands,R,Management practices,"Examine the effects of different management strategies upon various taxa to document effective measures to manage these habitats into the future (e;g;, determine the impact of various controlled grazing regimes or physical removal of woody vegetation);"
23,pri-23,2,bogs-and-associated-wetlands,R,Management practices,"Investigate the potential of beavers to create bogs and associated wetlands when previously none occurred; or where beavers were removed, research the possibility of reintroducing the species to these habitats to create wetland habitat;"
24,pri-24,5,dry-coniferous-woodlands-p,S,,"Determine the distribution and status for pigmy rattlesnake, timber rattlesnake, southeastern crowned snake, and other reptiles (especially lizards);"
25,pri-25,5,dry-coniferous-woodlands-p,S,,"Determine the distribution and status for small mammals and bats (e;g;, seminole bat);"
26,pri-26,5,dry-coniferous-woodlands-p,S,,"Conduct population status surveys for chuck-will's-widow, whip-poor-will (nocturnal), brown-headed nuthatch and woodpeckers;"
27,pri-27,5,dry-coniferous-woodlands-p,M,,"Establish MAPS and migration banding stations (although less of a priority than in Piedmont mesic forest, floodplain forest, oak forest and early successional communities);"
28,pri-28,5,dry-coniferous-woodlands-p,M,,Establish long-term monitoring efforts for small mammals and reptiles in the habitat;
29,pri-29,5,dry-coniferous-woodlands-p,R,Population demographics,"Conduct Seminole bat life history research, as little is known about the life history of this species in the Piedmont;"
30,pri-30,5,dry-coniferous-woodlands-p,R,Management practices,Determine impacts of prescribed fire on these communities and the resulting effects on wildlife communities;
31,pri-31,5,dry-coniferous-woodlands-p,R,Management practices,Develop logistically and economically effective control strategies for controlling outbreaks of the most damaging insect pests and diseases;
32,pri-32,6,oak-dominated-forest-p,S,,"Document the distribution and status of forest bats;  Several priority bat species, including Seminole bat, southeastern bat, hoary bat, northern yellow bat, silver-haired bat, and northern long-eared bat may occur in upland Piedmont forests, but very little work has been done to document these species;"
33,pri-33,6,oak-dominated-forest-p,S,,"Document the distribution and status of priority amphibians (e;g;, eastern spadefoot toad, four-toed salamanders) and document non-breeding use of oak forests by spotted and marbled salamanders;"
34,pri-34,6,oak-dominated-forest-p,S,,Document distribution and status of timber and pigmy rattlesnakes;
35,pri-35,6,oak-dominated-forest-p,S,,Conduct nocturnal surveys to determine the status and distribution for whip-poor-will and Chuck-will's widow;
36,pri-36,6,oak-dominated-forest-p,S,,Determine the breeding status and distribution of Cooper's hawks;
37,pri-37,6,oak-dominated-forest-p,S,,"Document status and distribution of priority reptiles (e;g;, northern scarlet snake, mole kingsnake, scarlet kingsnake, corn snake, eastern smooth earth snake) and document the extent of eastern box turtle use of oak or hardwood/pine dominated forests;"
38,pri-38,6,oak-dominated-forest-p,S,,"Document the distribution and rate of spread for the most detrimental invasive exotic insects, plants, and diseases;"
39,pri-39,6,oak-dominated-forest-p,M,,"Monitor tree infestations and diseases to document potentially destructive organisms shortly after they show up, while there is still a chance to contain or eradicate the pest;  This effort should include monitoring of potential vectors for the introduction of new pests and diseases, including nursery and forest products;"
40,pri-40,6,oak-dominated-forest-p,M,,Monitor for exotic species spread; control may be required locally;
41,pri-41,6,oak-dominated-forest-p,M,,"Develop standardized monitoring programs analogous to the Breeding Bird Survey for reptiles, amphibians and small mammals;  Of particular interest is trend information for those species dependent upon snags and woody debris;"
42,pri-42,6,oak-dominated-forest-p,M,,Establish mist-netting stations for long-term forest bat monitoring;
43,pri-43,6,oak-dominated-forest-p,M,,Establish MAPS and migration bird banding stations to monitor population status and trends for birds not adequately sampled under existing monitoring protocols;
44,pri-44,6,oak-dominated-forest-p,M,,Establish Migration Monitoring routes and winter surveys for birds in oak dominated forests;
45,pri-45,6,oak-dominated-forest-p,R,Predator effects,"Study predator impacts on nest productivity, especially for ground nesting birds;"
46,pri-46,6,oak-dominated-forest-p,R,Predator effects,Examine cowbird parasitism impacts on bird productivity in small versus large habitat patches;
47,pri-47,6,oak-dominated-forest-p,R,Predator effects,"Determine the interactions between fire ants and ground nesting birds, small mammals and reptiles in disturbed forests, along edges of forest, and at road/forest interfaces;"
48,pri-48,6,oak-dominated-forest-p,R,Population demographics,"Establish long-term bird nest searching and spot mapping studies on neotropical migrants like worm-eating warbler, wood thrush, hooded warbler and eastern wood-pewee;"
49,pri-49,6,oak-dominated-forest-p,R,Population demographics,Determine the impacts on native wildlife populations of large-scale applications of pesticides for gypsy moths and other pests;
50,pri-50,6,oak-dominated-forest-p,R,Habitat use,"Determine the minimum forest patch size needed to support stable populations of forest-interior birds (e;g;, wood thrush and scarlet tanager), as well as basic studies of nest success and productivity in habitat patches of different sizes, similar to studies conducted with citizen science volunteers by the Cornell Lab of Ornithology;"
51,pri-51,6,oak-dominated-forest-p,R,Habitat use,Conduct productivity studies of open woodland woodpeckers (i;e; northern flicker and red-headed woodpecker);
52,pri-52,6,oak-dominated-forest-p,R,Management practices,"Examine the feasibility of using forestry practices that mimic old growth forest dynamics (e;g;, canopy gap, snag, and woody debris creation) in a manner that is compatible with economic goals of private landowners;"
53,pri-53,6,oak-dominated-forest-p,R,Management practices,Study the efficacy and wildlife impacts of thinning mature oak stands to encourage understory development;
54,pri-54,6,oak-dominated-forest-p,R,Management practices,"Compare oak forests that are managed via prescribed fire and those that are not burned at all, tracking differences in plant, wildlife and invertebrate communities;"
55,pri-55,6,oak-dominated-forest-p,R,Management practices,Study the efficacy of wildlife underpasses where habitat is highly fragmented by high volume roads;
56,pri-56,6,oak-dominated-forest-p,R,Management practices,Develop new management techniques that control invasive exotic species while minimizing impacts on non-target species;
57,pri-57,7,mesic-forest-p,S,,"Determine the breeding distribution and status of Cooper's and sharp-shinned hawks;  Because of their secretive nature, traditional bird surveys do not adequately track these populations;  Targeted tape ""play-back"" surveys will be needed;"
58,pri-58,7,mesic-forest-p,S,,Conduct nest-searching and spot-mapping bird surveys to determine limiting factors in productivity;
59,pri-59,7,mesic-forest-p,S,,"Determine the distribution and population status of mole salamander, four-toed salamander, northern two-lined salamander;"
60,pri-60,7,mesic-forest-p,S,,Determine the status and distribution of timber rattlesnake;
61,pri-61,7,mesic-forest-p,S,,"Determine the status and distribution of spotted and box turtles, particularly in more urbanized and rapidly urbanizing counties;"
62,pri-62,7,mesic-forest-p,S,,Determine the status and distribution of small mammals and bats in Piedmont mesic forest;
63,pri-63,7,mesic-forest-p,M,,Establish MAPS and migration banding stations;
64,pri-64,7,mesic-forest-p,M,,Conduct herpetofauna monitoring to track population trends for species of concern;  Particular attention should be paid to mole salamanders and four-toed salamanders;
65,pri-65,7,mesic-forest-p,M,,"Establish monitoring systems and protocols for small mammals, bats and reptiles and amphibians to follow population trends;"
66,pri-66,7,mesic-forest-p,R,Population demographics,"Conduct life history studies on priority bat species, as well as investigations into specific habitat needs, particularly for silver-haired bats;"
67,pri-67,7,mesic-forest-p,R,Population demographics,Conduct research on the effects of the loss of old-growth characteristics on herpetofauna populations;
68,pri-68,7,mesic-forest-p,R,Predator effects,"Examine impacts of cowbird parasitism and predation on neotropical migrant nesting productivity (e;g;, hooded warbler, Kentucky warbler, eastern wood-pewee and worm-eating warbler);"
69,pri-69,7,mesic-forest-p,R,Habitat use,Study the impacts of habitat fragmentation and roads on reptile and amphibian survival and productivity;
70,pri-70,7,mesic-forest-p,R,Other,Conduct economic and human dimensions research to determine how to encourage commercial forestry practices that promote multi-age stands with structural diversity;
71,pri-71,8,early-successional-habitats-p,S,,Survey small mammals to determine the composition of the early succession mammal community in the Piedmont;
72,pri-72,8,early-successional-habitats-p,S,,"Determine the distribution of the least shrew, meadow jumping mouse and old-field mouse surveys (especially in Rutherford Co;);"
73,pri-73,8,early-successional-habitats-p,S,,"Document the status and distribution of mole kingsnake, eastern kingsnake and eastern slender glass lizard and survey for more common amphibians and reptiles using early succesional habitats;"
74,pri-74,8,early-successional-habitats-p,S,,Determine the importance of early succession habitats for foraging bats;
75,pri-75,8,early-successional-habitats-p,S,,Implement winter surveys for birds (and other taxa) to measure populations at the time of the year when early succession habitat may be most limiting;
76,pri-76,8,early-successional-habitats-p,S,,"Survey for grassland birds that are considered to be steeply declining, are not tracked well by typical survey methods, or have poorly understood distribution and status in the region (e;g;, barn owl, grasshopper sparrow, Bachman's sparrow, eastern meadowlark and eastern kingbird);"
77,pri-77,8,early-successional-habitats-p,S,,"Conduct nocturnal surveys for Chuck-will's-widow and whip-poor-wills, concentrating on foraging areas;"
78,pri-78,8,early-successional-habitats-p,S,,Determine vesper sparrow breeding status and loggerhead shrike status and distribution;
79,pri-79,8,early-successional-habitats-p,S,,Conduct migration surveys to determine the extent of use of early succession habitats by post-breeding and migratory birds;
80,pri-80,8,early-successional-habitats-p,M,,Develop monitoring systems to determine population trend information for grassland-dependent small mammals;
81,pri-81,8,early-successional-habitats-p,M,,"Establish MAPS, winter, and migration bird banding stations - especially in grasslands and hay fields;"
82,pri-82,8,early-successional-habitats-p,M,,Continue and expand long-term monitoring of grassland and scrub-shrub birds on Piedmont Game Lands and other public lands;
83,pri-83,8,early-successional-habitats-p,R,Habitat use,Examine the habitat requirements of habitat specialists and ways to integrate management for these species into commercial agriculture and forestry operations;
84,pri-84,8,early-successional-habitats-p,R,Habitat use,Examine the minimum habitat patch and habitat complex size required to sustain populations of shrub-scrub and grassland birds and mammals;  Some studies suggest that patch size may be an important factor affecting both birds (Lanham and Guynn 1998) and mammals (Yates et al; 1997);
85,pri-85,8,early-successional-habitats-p,R,Habitat use,Evaluate the landscape context (amount of suitable habitat in surrounding landscape) for sites where rare species are found;
86,pri-86,8,early-successional-habitats-p,R,Habitat use,Study the responses of bird communities to early successional habitat in managed landscapes and unmanaged landscapes;
87,pri-87,8,early-successional-habitats-p,R,Habitat use,Evaluate the habitat requirements and management needs of grassland-dependent herpetofauna;
88,pri-88,8,early-successional-habitats-p,R,Habitat use,Identify factors limiting populations of loggerhead shrike;
89,pri-89,8,early-successional-habitats-p,R,Populations and communities,"Examine impacts of cowbird parasitism and predation on neotropical migrant nesting productivity (e;g;, hooded warbler, Kentucky warbler, eastern wood-pewee and worm-eating warbler);"
90,pri-90,8,early-successional-habitats-p,R,Predator effects,"Identify predators of field sparrow nests, and other species with high nest depredation rates;"
91,pri-91,8,early-successional-habitats-p,R,Predator effects,Determine if cowbirds are negatively impacting bird productivity in portions of the western Piedmont with higher densities of livestock and cowbirds;
92,pri-92,8,early-successional-habitats-p,R,Predator effects,"Examine the impacts of fire ants on herpetofauna, small mammals, and ground nesting birds, in addition to large scale management actions that could be used to control fire ants;"
93,pri-93,8,early-successional-habitats-p,R,Other,  Conduct economics and human dimensions research to determine how to make early succession habitat creation and maintenance more financially and socially acceptable for private landowners;
94,pri-94,9,floodplain-forest-p,S,,"Determine the breeding distribution and status of floodplain associated bird species (e;g;, Swainson's warbler and Louisiana waterthrush);"
95,pri-95,9,floodplain-forest-p,S,,Conduct nocturnal surveys to determine the population status and distribution of Chuck-wills-widow and Whip-poor-will;
96,pri-96,9,floodplain-forest-p,S,,Inventory heron and egret rookeries;
97,pri-97,9,floodplain-forest-p,S,,"Determine the distribution and population status of bats in Piedmont floodplain forests;  Few systemic surveys have been conducted throughout the Piedmont region; most of these surveys have been conducted or coordinated by the NC Museum of Natural Sciences;  In addition to Rafinesque's big-eared bat, Seminole bat, and southeastern bat, it is possible that other priority bats may be found in the Piedmont;  Northern yellow bats may occur in the eastern Piedmont, and northern long-eared bats may occur in the western Piedmont;  Hoary bats have been detected in acoustical surveys along the Pee Dee river;"
98,pri-98,9,floodplain-forest-p,S,,"Determine the distribution and population status of terrestrial small mammals, like golden mouse and shrews, in Piedmont floodplain forests;"
99,pri-99,9,floodplain-forest-p,S,,"Determine the status and distribution of mole salamander, four-toed salamander, gray treefrog, and timber rattlesnake (and conduct surveys to determine the distribution and status of many common reptiles and amphibians);"
100,pri-100,9,floodplain-forest-p,S,,Identify both breeding sites and travel corridors for bog turtle in the northwestern Piedmont;
101,pri-101,9,floodplain-forest-p,M,,"Establish selective monitoring systems for bird species that are difficult to detect by conventional survey protocols (e;g;, Swainson's warbler, Kentucky warbler and other floodplain bird species);  (A monitoring program for birds in floodplain forests on Caswell Game Land, Caswell County, was initiated by the Commission in 2004);"
102,pri-102,9,floodplain-forest-p,M,,Establish more MAPS and migration-period bird banding stations;
103,pri-103,9,floodplain-forest-p,M,,Conduct long-term monitoring of heron and egret rookeries;
104,pri-104,9,floodplain-forest-p,M,,Continue monitoring of bald eagle nesting territories;
105,pri-105,9,floodplain-forest-p,M,,Initiate long-term bat population monitoring;
106,pri-106,9,floodplain-forest-p,M,,Initiate long-term reptile and amphibian monitoring in floodplain pools in particular;
107,pri-107,9,floodplain-forest-p,R,Predator effects,"Conduct studies about nesting success, productivity and survival of floodplain birds in buffers of different widths; this could provide some insight into population declines and help to guide management recommendations for buffer width;"
108,pri-108,9,floodplain-forest-p,R,Habitat use,Identify those reptile and amphibian species that are most vulnerable to direct mortality and isolation from roads;  Strategies to mitigate the impacts of roads should be devised and tested;
109,pri-109,9,floodplain-forest-p,R,Habitat use,Determine the extent of the use of floodplains as travel corridors for bog turtle in the western Piedmont; determine any management actions that are needed to facilitate use by bog turtles;
110,pri-110,9,floodplain-forest-p,R,Habitat use,Determine the extent and timing of use of riparian corridors by birds during the migration period;
111,pri-111,9,floodplain-forest-p,R,Management practices,"Evaluate the distribution, impacts on native wildlife, and feasibility of control of feral hogs, which are very common at inner coastal sites along major rivers adjacent to the Piedmont (e;g;, Howell Woods in Johnston County), and are found sporadically throughout the Piedmont;"
112,pri-112,9,floodplain-forest-p,R,Management practices,"Examine ways to effectively restore canebrake communities, and determine the response of birds, mammals, amphibians and reptiles to the reestablishment of switch cane stands;"
113,pri-113,9,floodplain-forest-p,R,Management practices,"Study the effects of various river flow regimes on ephemeral pool habitat in floodplains, to help develop management recommendations for dam releases;  This research will be particularly critical to help guide management recommendations in the Federal Energy Regulatory Commission relicensing process for dams along the Yadkin, Pee Dee, and Catawba rivers;"
114,pri-114,10,piedmont-small-wetland-communities,S,,Identify the location of key small wetland communities in the Piedmont;
115,pri-115,10,piedmont-small-wetland-communities,S,,"Initiate distribution surveys for all amphibian species associated with small wetland communities, but especially the mole salamander, eastern tiger salamander, dwarf salamander, and four-toed salamander;"
116,pri-116,10,piedmont-small-wetland-communities,S,,"Gather better information about the status and distribution of more common species associated with Piedmont wetland habitats (e;g;, three-lined salamander, common ribbonsnake);"
117,pri-117,10,piedmont-small-wetland-communities,S,,Determine woodpecker use of dead trees in beaver ponds;
118,pri-118,10,piedmont-small-wetland-communities,M,,"   Determine population trends and persistence of small wetland breeding amphibian populations, particularly mole salamander, eastern tiger salamander, dwarf salamander, and four-toed salamander;"
119,pri-119,10,piedmont-small-wetland-communities,R,,Focus habitat use studies on bats and small mammals to clarify how small mammals and bats use these wetlands; little is known about the value of small wetland communities in the Piedmont for those groups;
120,pri-120,10,piedmont-small-wetland-communities,R,,"Study the efficacy and practicality of ""toad tunnels"" and other wildlife crossings that allow passage under roadways and help maintain connectivity between wetland metapopulations;"
121,pri-121,10,piedmont-small-wetland-communities,R,,Determine minimum upland buffers required to sustain at-risk amphibian populations;
122,pri-122,10,piedmont-small-wetland-communities,R,,"Explore management strategies to eradicate undesirable species, such as bullfrogs, from wetlands;"
123,pri-123,11,riverine-aquatic-communities-p,S,,"Determine the distribution and abundance of Gulf Coast spiny softshell, striped mud turtle and eastern mudsnake;"
124,pri-124,11,riverine-aquatic-communities-p,R,,Gain information regarding the specific microhabitat needs of priority species to develop long term conservation strategies;
125,pri-125,11,riverine-aquatic-communities-p,R,,"Study the extent and impact of exotic species introductions, as well as effective control measures for the most problematic exotics;"
126,pri-126,11,riverine-aquatic-communities-p,R,,"Determine the impacts of ""snagging"" (removing woody debris after storms) on wildlife populations;"
127,pri-127,11,riverine-aquatic-communities-p,R,,Determine the effect beaver ponds have on downstream movement of pollutants (toxins and sediments);
128,pri-128,12,northern-hardwoods,S,,"Initiate surveys for rare salamanders like Weller's, pygmy, seepage, and Tellico, as well as more common species such as ravine salamanders, to determine their actual distribution and better define their habitat associations;"
129,pri-129,12,northern-hardwoods,S,,"Continue survey work on northern flying squirrel distributions within and between known populations;  Questions remain, such as: Are there additional populations? Within populations how much suitable habitat occurs? What are the spatial relationships between patches of suitable habitat?"
130,pri-130,12,northern-hardwoods,S,,"Conduct shrew surveys to determine the distribution of long-tailed, pygmy and water shrews and surveys to document the response of shrews to disturbance/management;"
131,pri-131,12,northern-hardwoods,S,,"Conduct surveys for more common mammals such as Appalachian cottontails, bats (particularly silver-haired and hoary bats), woodland jumping mice;"
132,pri-132,12,northern-hardwoods,S,,"Conduct bird surveys to document breeding distribution (e;g;, black-billed cuckoo);"
133,pri-133,12,northern-hardwoods,S,,"Conduct bird surveys for golden winged warbler, black-capped chickadees, brown creeper, yellow-bellied sapsucker, and other high elevation birds;"
134,pri-134,12,northern-hardwoods,M,,"Establish more MAPS stations, point counts, and migration banding stations; montane birds are not adequately picked up in BBS routes;"
135,pri-135,12,northern-hardwoods,M,,"Continue montane bird population monitoring (e;g;, northern saw-whet owl, brown creeper, black-billed cuckoo, yellow-bellied sapsucker, rose-breasted grosbeak, and others that may be found at the upper or lower ranges of this habitat);"
136,pri-136,12,northern-hardwoods,M,,"Establish monitoring systems and protocols for small mammal population status and trends including northern flying squirrel, rock shrew, water shrew;"
137,pri-137,12,northern-hardwoods,M,,"Establish monitoring systems and protocols for bats (e;g; hoary, silver-haired and other bats) and other mammals (e;g; Appalachian cottontails) associated with northern hardwood communities;"
138,pri-138,12,northern-hardwoods,M,,Establish monitoring systems and protocols for northern hardwood associated amphibians such as Weller's and pigmy salamanders;
139,pri-139,12,northern-hardwoods,R,Genetics,"Conduct genetic studies across taxonomic groups to assess degree of population isolation/gene flow, and determine taxonomic status (primarily bird taxa thought to be southern Appalachian endemics);"
140,pri-140,12,northern-hardwoods,R,Habitat,"Conduct species specific research needed for northern saw-whet owls, yellow-bellied sapsuckers, black-capped chickadees, golden-winged warbler to answer the question: how are they using the available habitat?"
141,pri-141,12,northern-hardwoods,R,Habitat,"Initiate habitat use studies for many species to assess use of microhabitats, forest age classes and habitat spatial relationships;"
142,pri-142,12,northern-hardwoods,R,Habitat,Conduct research on habitat management techniques to successfully establish mixed spruce-northern hardwood stands in non-forested areas or appropriate pure/young northern hardwood stands;
143,pri-143,12,northern-hardwoods,R,Habitat,Conduct research on habitat management techniques to maintain suitable habitat for disturbance tolerant species such as golden-winged warbler and yellow-bellied sapsucker;
144,pri-144,12,northern-hardwoods,R,Population demographics,"Initiate demographic studies of neotropical migrants through nest searching, spot mapping, telemetry;"
145,pri-145,13,lakes-and-reservoirs-p,S,,"Determine the status and distribution of reservoir-associated birds (e;g;, osprey, herons, swallows, possibly rails) and help identify threats to populations;"
146,pri-146,13,lakes-and-reservoirs-p,S,,"Survey for shorebird migration activity on large reservoirs (e;g;, Falls Lake, Kerr Lake) in spring, summer and fall;"
147,pri-147,13,lakes-and-reservoirs-p,S,,"Initiate volunteer frog call surveys (a frog call CD is currently being developed by the Commission and NC Partners in Amphibian and Reptile Conservation, 2005);"
148,pri-148,13,lakes-and-reservoirs-p,M,,Continue bald eagle breeding activity monitoring;
149,pri-149,13,lakes-and-reservoirs-p,M,,Establish long-term surveys for waterbirds and rails to help determine population trends;
150,pri-150,13,lakes-and-reservoirs-p,M,,Monitor pond turtles and common ribbonsnake to track population trends;
151,pri-151,13,lakes-and-reservoirs-p,R,,"Track and identify problems associated with avian vacuolar myelinopathy that cause mortality in American coots, other waterfowl and bald eagles (following up on recent research; Augspurger et al; 2003);"
152,pri-152,13,lakes-and-reservoirs-p,R,,Assess the impacts of Federal Energy Regulatory Commission-mandated changes in water releases at hydro electric dams on high priority species;
153,pri-153,13,lakes-and-reservoirs-p,R,,"Study the impacts of commercial collecting of turtles on population dynamics, and the impact that the 2004 turtle law may have on the trade;"
154,pri-154,14,oak-dominated forest-macp,S,,"Document the status and distribution of neotropical migrant birds not adequately sampled by BBS (e;g;, hooded warbler, Kentucky warbler, yellow-billed cuckoo, red-headed woodpecker, northern flicker, hairy woodpecker);"
155,pri-155,14,oak-dominated forest-macp,S,,"Conduct nocturnal surveys for chuck-will's-widow and whip-poor-will to determine status and distribution, especially in areas with open patches of habitat mixed with mature trees;"
156,pri-156,14,oak-dominated forest-macp,S,,Determine the status and distribution of all bats using hardwood and hardwood/pine forests;
157,pri-157,14,oak-dominated forest-macp,S,,Determine the status and distribution of long-tailed weasel and other small mammals using the habitat;
158,pri-158,14,oak-dominated forest-macp,S,,Determine the status and distribution of eastern spadefoot and four-toed salamander;
159,pri-159,14,oak-dominated forest-macp,S,,"Determine the status of amphibians (mainly salamanders such as marbled, spotted, redback and slimy salamander) that key on woody debris for part or all of their life cycle;"
160,pri-160,14,oak-dominated forest-macp,S,,"Determine the status and distribution of secretive, hard to survey reptiles (e;g;, canebrake rattlesnake, mole kingsnake, northern scarletsnake and eastern smooth earthsnake) (in conjunction with surveys for more common reptiles);"
161,pri-161,14,oak-dominated forest-macp,M,,Establish MAPS and migration banding stations and migration monitoring surveys;
162,pri-162,14,oak-dominated forest-macp,M,,Initiate long-term monitoring for breeding neotropical migrants (especially ground-nesters and cavity nesters);
163,pri-163,14,oak-dominated forest-macp,M,,"Initiate long-term monitoring for bats and small mammals (e;g; moles, shrews, rodents) following initial survey efforts;"
164,pri-164,14,oak-dominated forest-macp,M,,Initiate long-term monitoring for amphibians that use woody debris as a microhabitat following initial survey efforts;
165,pri-165,14,oak-dominated forest-macp,M,,Initiate long-term monitoring needed for canebrake rattlesnakes and other secretive reptiles following initial survey efforts;
166,pri-166,14,oak-dominated forest-macp,R,Population demographics,"Conduct long-term life history studies for many birds, bats, small mammals, amphibians and reptiles, starting with those of highest conservation priority (Yates et al; 1997, Holmes and Sherry 2001, Ellis et al; 2002, Osbourne and Anderson 2002, Taylor and Jones 2002);"
167,pri-167,14,oak-dominated forest-macp,R,Predator effects,Study predator effects on nest productivity (especially for shrub and ground nesters) via nest search and spot mapping studies;
168,pri-168,14,oak-dominated forest-macp,R,Predator effects,Examine productivity of canopy and cavity nesting birds;
169,pri-169,14,oak-dominated forest-macp,R,Habitat use,Examine habitat use patterns on raptors and nightjars using telemetry (Mills 1986 and Lake et al; 2002);
170,pri-170,14,oak-dominated forest-macp,R,Habitat use,Determine how large scale floods affect reptile and amphibian populations;
171,pri-171,14,oak-dominated forest-macp,R,Management practices,"Determine the effects of management to improve vegetative structure (canopy gaps, prescribed fire, etc;) on habitat use patterns of birds, small mammals, bats, amphibians and reptiles (Blake and Hoppes 1986, Lanham and Guynn 1998, Osbourne and Anderson 2002);"
172,pri-172,15,mesic-forest-macp,S,,"Conduct selective surveys to determine the status and distribution of birds hard to track by BBS (e;g;, Swainson's warbler, worm-eating warbler, Kentucky warbler, hooded warbler, yellow-billed cuckoo) as well as more common breeding birds;"
173,pri-173,15,mesic-forest-macp,S,,"Determine distribution and status information for all bat species and many other mammals, especially for long-tailed weasel and cotton mouse;"
174,pri-174,15,mesic-forest-macp,S,,"Survey amphibians for which we have little information on status and distribution (e;g;, Mabee's salamander, four-toed salamander, Brimley's chorus frog, ornate chorus frog) as well as other more common amphibians;"
175,pri-175,15,mesic-forest-macp,S,,Determine the status and distribution of canebrake rattlesnake;
176,pri-176,15,mesic-forest-macp,S,,"Determine the status and distribution of hard to track snakes such as mole kingsnake, pine woods littersnake and eastern smooth earthsnake;"
177,pri-177,15,mesic-forest-macp,M,,Expand MAPS and migration banding stations to better identify breeding bird and migratory bird productivity and other demographic information;
178,pri-178,15,mesic-forest-macp,M,,Establish long-term monitoring for small mammals and bats following initial surveys;
179,pri-179,15,mesic-forest-macp,M,,Conduct general long-term herpetofauna monitoring to track the effects of the loss of old growth characteristics in this habitat type;
180,pri-180,15,mesic-forest-macp,R,Productivity,"Conduct bird nest productivity studies, including nest-searching and spot mapping, and studies of predator effects on bird nest productivity;"
181,pri-181,15,mesic-forest-macp,R,Genetics,Examine the possibility of a sub-species for the coastal worm-eating warbler;
182,pri-182,15,mesic-forest-macp,R,Population demographics,Collect demographic information on all bat species; investigate specific habitat needs and conduct life history studies;
